id,video,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top_of,adj_right_of,adj_top_no,adj_right_no,of_video_length,no_video_length,bgsub_of_q1,bgsub_of_q2,bgsub_of_q3,bgsub_of_q4,bgsub_no_q1,bgsub_no_q2,bgsub_no_q3,bgsub_no_q4,bgsub_mode_of_q1,bgsub_mode_of_q2,bgsub_mode_of_q3,bgsub_mode_of_q4,bgsub_mode_no_q1,bgsub_mode_no_q2,bgsub_mode_no_q3,bgsub_mode_no_q4,intensity_floor_of_q1,intensity_floor_of_q2,intensity_floor_of_q3,intensity_floor_of_q4,intensity_floor_no_q1,intensity_floor_no_q2,intensity_floor_no_q3,intensity_floor_no_q4,intensity_ceiling_of_q1,intensity_ceiling_of_q2,intensity_ceiling_of_q3,intensity_ceiling_of_q4,intensity_ceiling_no_q1,intensity_ceiling_no_q2,intensity_ceiling_no_q3,intensity_ceiling_no_q4,area_floor_of_q1,area_floor_of_q2,area_floor_of_q3,area_floor_of_q4,area_floor_no_q1,area_floor_no_q2,area_floor_no_q3,area_floor_no_q4,area_ceiling_of_q1,area_ceiling_of_q2,area_ceiling_of_q3,area_ceiling_of_q4,area_ceiling_no_q1,area_ceiling_no_q2,area_ceiling_no_q3,area_ceiling_no_q4,cab_coords_of_q1,cab_coords_of_q2,cab_coords_of_q3,cab_coords_of_q4,cab_coords_no_q1,cab_coords_no_q2,cab_coords_no_q3,cab_coords_no_q4,ref,test
20190614_1430_icab_hdr_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1430_icab_hdr_L.avi,20190614,1430,L,2250,20250,21210,39210,30,4,2,2,-5,18438,18617,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Top,Left,Top,Right,Right,Top,Top,icab,hdr
20190614_1456_icab_ho5_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1456_icab_ho5_R.avi,20190614,1456,R,3184,21184,22492,40492,30,-3,10,-3,9,18621,18995,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,30,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Left,Right,Left,Top,Bottom,Bottom,Bottom,icab,ho5
20190614_1524_icab_icab_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1524_icab_icab_R.avi,20190614,1524,R,2891,20891,21976,39976,30,2,10,-3,7,18553,19173,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190614_1553_icab_hni_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1553_icab_hni_L.avi,20190614,1553,L,2466,20466,21544,39544,30,8,8,6,-1,18527,18076,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Bottom,Bottom,Left,Top,Top,Left,Bottom,icab,hni
20190614_1619_icab_kaga_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1619_icab_kaga_L.avi,20190614,1619,L,2741,20741,21558,39558,30,10,4,4,-2,18321,19191,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Top,Bottom,Right,Top,Right,Bottom,icab,kaga
20190614_1644_icab_hni_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1644_icab_hni_L.avi,20190614,1644,L,2879,20879,21592,39592,30,10,-5,8,-7,18292,18171,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Top,Bottom,Left,Left,Left,Top,Left,icab,hni
20190615_1022_icab_ho5_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1022_icab_ho5_L.avi,20190615,1022,L,2232,20232,21308,39308,30,3,-1,1,-7,18505,18266,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,Bottom,Left,Left,Bottom,Bottom,Top,icab,ho5
20190615_1051_icab_hdr_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1051_icab_hdr_L.avi,20190615,1051,L,3533,21533,22439,40439,30,5,5,2,-5,19146,18528,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Bottom,Bottom,Top,Left,Left,Top,Top,icab,hdr
20190615_1117_icab_kaga_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1117_icab_kaga_L.avi,20190615,2281,L,2279,20231,22648,40648,30,11,1,8,-2,19701,18462,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Bottom,Right,Right,Left,Bottom,Bottom,icab,kaga
20190615_1145_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1145_icab_hni_R.avi,20190615,1145,R,2239,20239,21200,39200,30,0,3,-7,1,18301,19785,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Left,Left,Left,Left,Top,Right,icab,hni
20190615_1210_icab_ho5_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1210_icab_ho5_R.avi,20190615,1210,R,2495,20495,21641,39641,30,-2,5,-2,5,18503,18202,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Top,Right,Bottom,Left,Top,Left,icab,ho5
20190615_1236_icab_hdr_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1236_icab_hdr_R.avi,20190615,1236,R,2340,20340,22167,40167,30,-5,8,-8,4,19405,18188,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Bottom,Left,Right,Right,Bottom,icab,hdr
20190615_1305_icab_ho5_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1305_icab_ho5_R.avi,20190615,1305,R,2261,20261,21478,39478,30,-9,10,-6,8,18800,18319,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Left,Left,Right,Right,Right,Left,Bottom,icab,ho5
20190615_1332_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1332_icab_icab_L.avi,20190615,1332,L,1994,19994,21216,39216,30,9,-1,8,-7,18467,18288,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190615_1358_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1358_icab_icab_L.avi,20190615,1358,L,2132,20132,21187,39187,30,3,-8,3,-8,18699,18459,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190615_1423_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1423_icab_icab_L.avi,20190615,1423,L,2487,20487,21840,39840,30,11,5,7,-5,19081,18714,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,30,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190615_1452_icab_hdr_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1452_icab_hdr_L.avi,20190615,1452,L,2238,20238,21585,39585,30,5,2,5,-1,18721,18721,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,30,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Bottom,Bottom,Top,Right,Top,Left,Top,icab,hdr
20190615_1518_icab_kaga_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1518_icab_kaga_L.avi,20190615,1518,L,2099,20099,21372,39372,30,7,5,7,-3,18700,19437,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,30,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Right,Left,Left,Bottom,Right,Bottom,Right,icab,kaga
20190615_1549_icab_hni_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1549_icab_hni_L.avi,20190615,1549,L,1927,19927,21107,39107,30,4,3,3,-5,18623,20050,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Top,Bottom,Left,Bottom,Top,icab,hni
20190615_1616_icab_hni_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1616_icab_hni_L.avi,20190615,1616,L,2710,20710,21707,39707,30,7,0,7,-6,18297,18177,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Left,Bottom,Top,Right,Left,Right,Top,icab,hni
20190615_1649_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1649_icab_icab_L.avi,20190615,1649,L,2235,20235,21123,39123,30,12,0,11,-6,18465,18346,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190615_1714_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190615_1714_icab_icab_L.avi,20190615,1714,L,1846,19846,20830,38830,30,3,-1,4,-5,18369,18428,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190616_0923_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_0923_icab_icab_L.avi,20190616,923,L,2705,20705,21552,39552,30,5,3,6,-3,18308,18857,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190616_0948_icab_hdr_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_0948_icab_hdr_L.avi,20190616,948,L,1815,19815,20794,38794,30,3,-4,4,-3,18301,18360,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,30,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Right,Left,Bottom,Top,Bottom,Bottom,Right,icab,hdr
20190616_1017_icab_kaga_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1017_icab_kaga_R.avi,20190616,1017,R,1915,19915,20711,38711,30,-10,3,-9,4,18299,18182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Left,Right,Right,Bottom,Left,Right,icab,kaga
20190616_1045_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1045_icab_icab_L.avi,20190616,1045,L,2147,20147,21035,39035,30,5,2,3,-5,18411,18590,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190616_1110_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1110_icab_icab_L.avi,20190616,1110,L,1678,19678,20540,38540,30,5,5,5,-2,18378,18260,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190616_1135_icab_kaga_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1135_icab_kaga_R.avi,20190616,1135,R,1932,19932,21151,39151,30,-4,4,-4,3,18549,18912,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,Top,Top,Bottom,Bottom,Right,Left,icab,kaga
20190616_1210_icab_icab_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1210_icab_icab_R.avi,20190616,1210,R,2173,20173,21449,39449,30,-8,5,-8,5,18548,18487,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190616_1227_icab_kaga_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1227_icab_kaga_R.avi,20190616,1227,R,2334,20334,21567,39567,30,-4,7,-10,6,18812,18152,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,,Right,Bottom,Left,,Top,icab,kaga
20190616_1256_icab_kaga_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1256_icab_kaga_L.avi,20190616,1256,L,2008,20008,21363,39363,30,5,2,4,-2,18868,18268,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Bottom,Top,Bottom,Bottom,Right,Top,Left,icab,kaga
20190616_1325_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1325_icab_hni_R.avi,20190616,1325,R,2203,20203,21130,39130,30,-11,-4,-12,-3,18340,18279,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Top,Top,Right,Left,Bottom,Bottom,Top,icab,hni
20190616_1351_icab_ho5_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1351_icab_ho5_L.avi,20190616,1351,L,2515,20515,21420,39420,30,4,-4,4,-4,18339,21862,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Bottom,Right,Top,Left,Bottom,Left,Bottom,icab,ho5
20190616_1417_icab_hni_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1417_icab_hni_L.avi,20190616,1417,L,2072,20072,20927,38927,30,4,1,6,0,18340,18340,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Bottom,Bottom,Top,Top,Left,Top,icab,hni
20190616_1441_icab_hni_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1441_icab_hni_L.avi,20190616,1441,L,2297,20297,21308,39308,30,3,-6,2,-7,18432,18312,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Right,Bottom,Left,Right,Top,Bottom,icab,hni
20190616_1506_icab_hni_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1506_icab_hni_L.avi,20190616,1506,L,1883,19883,21201,39201,30,6,-4,8,-4,18820,18638,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Left,Top,Top,Left,Top,Top,icab,hni
20190616_1531_icab_hdr_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1531_icab_hdr_L.avi,20190616,1531,L,2554,20554,21739,39739,30,11,2,10,-1,18636,18394,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,max,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Top,Left,Bottom,Top,Top,Top,Top,icab,hdr
20190616_1556_icab_hdr_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1556_icab_hdr_L.avi,20190616,1556,L,2157,20157,21774,39774,30,4,-7,1,-8,18944,18577,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,30,15,15,10,10,10,10,10,30,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Right,Bottom,Right,Right,Top,Bottom,Right,icab,hdr
20190616_1622_icab_ho5_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1622_icab_ho5_L.avi,20190616,1622,L,2373,20373,21492,39492,30,12,5,11,-1,18643,18282,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Left,Left,Top,Bottom,Right,Top,Bottom,icab,ho5
20190616_1651_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1651_icab_icab_L.avi,20190616,1651,L,2261,20261,21623,39623,30,3,-3,2,-2,19049,19296,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,30,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190616_1717_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190616_1717_icab_icab_L.avi,20190616,1717,L,2601,20601,21321,39321,30,8,5,6,-4,18278,18278,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,30,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab